Country,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Poland,11251.0,11750.0,12688.0,13424.0,14057.0,14556.0,15007.0,15640.0,17841.0,19250.0,19218.0,19485.0,15719.0,14794.0,16236.0,16533.0,16126.0,17144.0,17145.0,16873.0,15094.0,13633.0,10403.0,9867.0,9939.0,11113.0,11890.0,10432.0,11585.0,9915.0,8848.0,10498.0,8809.0,8368.0,9107.0,10593.0,8336.0,10008.0,10632.0,9728.0,7128.0,7993.0,8779.0,8366.0,7950.0,8558.0,9198.0,9001.0,10332.0,10167.0,8956.0
Romania,5540.0,6517.0,6803.0,7401.0,8161.0,8840.0,9549.0,10970.0,11457.0,11779.0,12909.0,13175.0,13025.0,13055.0,12593.0,14437.0,13795.0,14276.0,14962.0,14314.0,14415.0,9761.0,7110.0,5376.0,5446.0,5800.0,6555.0,6082.0,6674.0,6393.0,4354.0,4672.0,4935.0,5491.0,5691.0,6042.0,6280.0,6266.0,6261.0,5035.0,2761.0,3721.0,3828.0,3292.0,2985.0,3158.0,3352.0,3276.0,3361.0,3550.0,3448.0
USSR,110315.0,115886.0,120637.0,125589.0,131481.0,136200.0,141325.0,144805.0,146655.0,151436.0,149087.0,147931.0,148517.0,147153.0,152511.0,154230.0,154653.0,160537.0,161874.0,163037.0,160096.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,9351.0,11200.0,11040.0,11863.0,13388.0,13623.0,13025.0,13290.0,13631.0,14899.0,16078.0,15901.0,14811.0,11871.0,12832.0,14699.0,14637.0,14081.0,14737.0,14866.0,15458.0,12281.0,12987.0,13933.0,14387.0,13897.0,14415.0,14735.0,15553.0,15930.0,16235.0,16595.0,15276.0,16002.0,15929.0,16305.0,15327.0,15493.0,15572.0,14845.0,9286.0,13009.0,12891.0,13507.0,12417.0,12730.0,12473.0,12646.0,13208.0,13443.0,12897.0
United States,128151.0,119307.0,109264.0,120874.0,136802.0,132195.0,105816.0,116120.0,113700.0,124313.0,123276.0,101456.0,109614.0,67656.0,76762.0,83941.0,80068.0,74032.0,80877.0,90650.0,88853.0,89726.0,79738.0,84322.0,88793.0,91244.0,95191.0,95535.0,98485.0,98658.0,97427.0,101803.0,90104.0,91587.0,93677.0,99681.0,94897.0,98557.0,98102.0,91350.0,58196.0,80495.0,86398.0,88695.0,86878.0,88174.0,78845.0,78475.0,81612.0,86607.0,87761.0
Argentina,1690.0,1823.0,1915.0,2151.0,2205.0,2353.0,2208.0,2410.0,2684.0,2782.0,3199.0,2687.0,2526.0,2913.0,2943.0,2647.0,2942.0,3235.0,3633.0,3631.0,3893.0,3636.0,2991.0,2700.0,2886.0,3289.0,3581.0,4075.0,4169.0,4216.0,3797.0,4474.0,4107.0,4356.0,5044.0,5133.0,5380.0,5533.0,5387.0,5541.0,4013.0,5138.0,5611.0,4995.0,5186.0,5488.0,5028.0,4126.0,4624.0,5162.0,4645.0
Brazil,4925.0,5390.0,5997.0,6518.0,7150.0,7515.0,8387.0,9253.0,11253.0,12205.0,13893.0,15337.0,13226.0,12995.0,14671.0,18386.0,20455.0,21233.0,22228.0,24657.0,25017.0,20567.0,22617.0,23934.0,25207.0,25747.0,25076.0,25237.0,26153.0,25760.0,24996.0,27865.0,26717.0,29604.0,31147.0,32909.0,31610.0,30901.0,33782.0,33716.0,26506.0,32948.0,35220.0,34524.0,34163.0,33897.0,33258.0,31642.0,34778.0,35407.0,32569.0
Chile,641.0,592.0,654.0,631.0,549.0,634.0,508.0,503.0,559.0,616.0,642.0,704.0,644.0,492.0,618.0,692.0,689.0,706.0,726.0,899.0,813.0,772.0,807.0,1013.0,1069.0,1040.0,1014.0,1178.0,1167.0,1171.0,1291.0,1352.0,1247.0,1279.0,1377.0,1579.0,1537.0,1627.0,1679.0,1523.0,1308.0,1011.0,1615.0,1671.0,1323.0,1079.0,1112.0,1153.0,1158.0,1145.0,1133.0
Colombia,272.0,310.0,325.0,373.0,362.0,311.0,390.0,370.0,330.0,390.0,361.0,420.0,402.0,422.0,482.0,507.0,530.0,632.0,689.0,712.0,706.0,701.0,652.0,657.0,657.0,687.0,714.0,695.0,734.0,636.0,523.0,660.0,638.0,664.0,668.0,730.0,842.0,1220.0,1245.0,1053.0,1053.0,1208.0,1287.0,1302.0,1236.0,1208.0,1211.0,1272.0,1253.0,1219.0,1333.0
Cuba,119.0,140.0,160.0,185.0,220.0,240.0,300.0,296.0,302.0,300.0,300.0,304.0,330.0,301.0,364.0,338.0,408.0,411.0,402.0,314.0,336.0,255.0,180.0,134.0,91.0,131.0,207.0,231.0,342.0,283.0,301.0,336.0,270.0,268.0,210.0,192.0,245.0,257.0,268.0,279.0,267.0,278.0,282.0,277.0,322.0,256.0,284.0,244.0,221.0,225.0,230.0
Mexico,3467.0,3881.0,3821.0,4431.0,4760.0,5138.0,5272.0,5298.0,5601.0,6711.0,7005.0,7156.0,7663.0,7056.0,6978.0,7560.0,7399.0,7225.0,7642.0,7779.0,7850.0,8734.0,7964.0,8459.0,9199.0,10260.0,12147.0,13172.0,14218.0,14213.0,15299.0,15631.0,13300.0,14010.0,15159.0,16737.0,16195.0,16447.0,17573.0,17209.0,13957.0,16870.0,18110.0,18073.0,18242.0,18930.0,18218.0,18824.0,19924.0,20204.0,18387.0
Peru,194.0,94.0,179.0,181.0,356.0,481.0,431.0,349.0,379.0,377.0,436.0,447.0,364.0,273.0,299.0,337.0,410.0,507.0,511.0,481.0,401.0,270.0,404.0,343.0,417.0,509.0,512.0,528.0,607.0,631.0,565.0,751.0,690.0,611.0,669.0,726.0,790.0,896.0,881.0,1001.0,718.0,880.0,877.0,981.0,1069.0,1078.0,1082.0,1168.0,1207.0,1217.0,1230.0
Uruguay,14.0,16.0,15.0,13.0,12.0,14.0,16.0,16.0,19.0,9.0,14.0,13.0,15.0,28.0,46.0,41.0,39.0,31.0,30.0,29.0,39.0,38.0,41.0,55.0,36.0,36.0,40.0,34.0,39.0,52.0,46.0,38.0,31.0,34.0,40.0,58.0,64.0,57.0,71.0,86.0,57.0,65.0,81.0,78.0,91.0,94.0,97.0,61.0,58.0,60.0,62.0
Venezuela,840.0,927.0,924.0,1128.0,1063.0,1041.0,1063.0,936.0,803.0,860.0,1506.0,1975.0,2030.0,2226.0,2367.0,2777.0,3085.0,3401.0,3699.0,3650.0,3390.0,3233.0,3315.0,3489.0,3392.0,3524.0,3568.0,3956.0,3987.0,3553.0,3249.0,3835.0,3813.0,4164.0,3930.0,4561.0,4910.0,4864.0,5005.0,4225.0,4108.0,2207.0,2980.0,2359.0,2139.0,1485.0,1345.0,553.0,444.0,129.0,51.0
Algeria,30.0,31.0,28.0,98.0,195.0,173.0,221.0,356.0,410.0,580.0,600.0,968.0,1015.0,1074.0,979.0,928.0,1028.0,1013.0,1433.0,2025.0,2114.0,836.0,840.0,842.0,865.0,807.0,827.0,651.0,399.0,600.0,600.0,842.0,947.0,1091.0,1051.0,1014.0,1007.0,1158.0,1278.0,646.0,458.0,662.0,551.0,557.0,417.0,415.0,650.0,650.0,415.0,2300.0,2400.0
Rhodesia,300.0,374.0,439.0,462.0,500.0,500.0,500.0,500.0,500.0,700.0,840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,100.0,100.0,90.0,133.0,140.0,132.0,130.0,102.0,157.0,150.0,150.0,185.0,180.0,112.0,170.0,173.0,167.0,189.0,196.0,150.0,194.0,177.0,194.0,182.0,183.0,184.0,201.0,187.0,195.0,171.0,231.0,229.0,239.0,200.0,86.0,66.0,70.0,75.0,80.0,82.0,155.0,150.0,150.0,150.0,150.0,150.0,50.0,50.0,50.0,50.0,50.0
South Africa,4625.0,4757.0,4881.0,5337.0,5722.0,5839.0,6831.0,7106.0,7295.0,7902.0,8876.0,9067.0,9005.0,8280.0,7180.0,7732.0,8507.0,8895.0,8891.0,8837.0,9567.0,8619.0,9358.0,9061.0,8726.0,8525.0,8741.0,7999.0,8311.0,7956.0,7341.0,8481.0,8821.0,9095.0,9481.0,9500.0,9494.0,9718.0,9098.0,8269.0,7484.0,7617.0,7546.0,6938.0,7162.0,6412.0,6417.0,6141.0,6301.0,6327.0,6152.0
Egypt,450.0,450.0,450.0,450.0,525.0,500.0,500.0,500.0,600.0,600.0,800.0,968.0,1015.0,1074.0,979.0,928.0,1028.0,1013.0,1433.0,2025.0,2114.0,2247.0,2556.0,2524.0,2772.0,2622.0,2642.0,2618.0,2717.0,2870.0,2627.0,2838.0,3799.0,4316.0,4398.0,4810.0,5603.0,6045.0,6224.0,6198.0,5508.0,6676.0,6485.0,6627.0,6754.0,6485.0,5506.0,5036.0,6870.0,7807.0,7257.0
Iran,,,,,240.0,587.0,551.0,549.0,1825.0,1130.0,1430.0,550.0,565.0,550.0,734.0,854.0,836.0,838.0,839.0,978.0,1081.0,1425.0,2203.0,2937.0,3672.0,4498.0,4696.0,5415.0,6322.0,5602.0,6070.0,6600.0,6916.0,7321.0,7869.0,8682.0,9404.0,9789.0,10051.0,9964.0,10908.0,11995.0,13197.0,14463.0,15422.0,16331.0,16146.0,17895.0,21236.0,24520.0,25609.0
Israel,60.0,80.0,65.0,65.0,65.0,75.0,60.0,70.0,72.0,94.0,107.0,115.0,114.0,87.0,83.0,92.0,100.0,110.0,116.0,99.0,100.0,135.0,90.0,109.0,120.0,180.0,220.0,265.0,270.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
Qatar,,,,,,,,,,127.0,396.0,461.0,469.0,495.0,469.0,478.0,533.0,507.0,492.0,527.0,585.0,564.0,564.0,575.0,620.0,572.0,606.0,616.0,608.0,637.0,629.0,729.0,891.0,1027.0,1055.0,1089.0,1057.0,1003.0,1147.0,1406.0,1448.0,1970.0,2038.0,2145.0,2236.0,3019.0,2593.0,2521.0,2644.0,2575.0,2558.0
China,16000.0,18000.0,21000.0,23000.0,26000.0,26000.0,28000.0,21000.0,23700.0,31780.0,34430.0,37121.0,35604.0,37160.0,40021.0,43475.0,46794.0,52208.0,56020.0,59136.0,61320.0,66345.0,71000.0,80935.0,89539.0,92613.0,95360.0,101237.0,108911.0,114588.0,123709.0,128500.0,151634.0,182366.0,222336.0,282911.0,353240.0,419149.0,489288.0,500312.0,567842.0,638743.0,701968.0,731040.0,822000.0,822306.0,803825.0,807609.0,870855.0,928260.0,996342.0
India,6557.0,6276.0,6101.0,6856.0,6889.0,7088.0,7991.0,9364.0,10009.0,10099.0,10126.0,9514.0,10765.0,10997.0,10237.0,10549.0,11936.0,12197.0,13121.0,14309.0,14429.0,14963.0,17100.0,18117.0,18155.0,19287.0,22003.0,23753.0,24415.0,23480.0,24296.0,26924.0,27291.0,28814.0,31779.0,32626.0,45780.0,49450.0,53468.0,57791.0,62838.0,68976.0,73471.0,77264.0,81299.0,87292.0,89026.0,95477.0,101455.0,109272.0,111351.0
Hong Kong,95.0,100.0,105.0,110.0,115.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,100.0,,,,,,,,,,,,,,,,,,,,,,,
